Tanggal,Arah Angin Saat Kec Maks,Arah Angin Terbanyak,Kec Angin Maks,Kec Angin Rata-rata,Kelembaban,Lamanya Penyinaran,Temp Maks,Temp Min,Temp Rata-rata,Curah Hujan
43676,145.0,S ,3.0,1.0,76.0,5.2,34.3,24.0,28.1,
43677,240.0,E ,4.0,2.0,74.0,6.9,34.6,24.0,28.2,
43678,60.0,S ,3.0,2.0,73.0,9.7,32.8,23.0,27.7,0.0
43679,220.0,S ,4.0,2.0,75.0,8.9,33.0,23.0,28.1,
43680,50.0,C ,3.0,1.0,,5.7,33.4,23.0,,
43681,40.0,S ,3.0,1.0,69.0,7.3,34.4,23.0,27.7,
43682,290.0,W ,4.0,2.0,59.0,6.0,32.4,,27.3,0.0
43683,180.0,S ,3.0,2.0,60.0,9.2,32.8,22.0,27.2,
43684,40.0,NE,4.0,2.0,62.0,9.5,33.0,23.0,27.4,0.0
43685,80.0,C ,2.0,1.0,71.0,8.3,33.2,23.0,27.6,
43686,60.0,C ,3.0,1.0,69.0,5.8,32.2,23.0,27.7,
43687,60.0,NE,4.0,2.0,69.0,5.4,33.2,23.0,27.4,0.0
43688,60.0,C ,4.0,2.0,71.0,9.1,33.6,24.0,28.1,
43689,170.0,E ,4.0,2.0,69.0,7.9,33.6,22.0,27.7,
43690,70.0,E ,4.0,2.0,70.0,7.2,33.4,23.0,27.9,0.0
43691,50.0,NE,4.0,1.0,70.0,7.8,33.1,24.0,28.6,
43692,110.0,C ,3.0,1.0,72.0,6.4,33.6,25.0,28.8,
43693,150.0,S ,4.0,2.0,75.0,2.6,33.4,24.0,28.1,0.0
43694,200.0,C ,3.0,1.0,72.0,4.5,33.1,24.0,28.3,
43695,70.0,E ,5.0,2.0,65.0,4.6,34.2,24.0,28.3,
43696,70.0,E ,3.0,2.0,71.0,9.8,34.4,23.0,27.7,0.0
43697,40.0,NE,4.0,2.0,64.0,9.9,33.9,23.0,27.9,
43698,50.0,E ,7.0,4.0,60.0,9.4,34.4,23.0,29.1,
43699,50.0,S ,4.0,2.0,72.0,,33.7,25.0,28.6,
43700,40.0,C ,4.0,1.0,73.0,,33.7,23.0,28.0,8888.0
43701,210.0,C ,4.0,2.0,73.0,8.9,33.0,23.0,27.8,
43702,50.0,S ,4.0,2.0,72.0,6.3,33.7,23.0,27.9,
